dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,dwin,stcpb,dtcpb,tcprtt,synack,ackdat,smeansz,dmeansz,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
0.000041,tcp,imap,PSH,61,61,61,61,0E+6,63,0,11902.439024,11902.439024,0,0,0,0.041000,0,0.000000,16383,16383,1417884147,3077387971,1424219007.658518,0,1424219007.658518,61,61,0,0,1,1,1,1,1,1,0,0,0,1,1,0
0.078845,tcp,imap,PSH,61,81,61,81,2029.297989726678927008687932,62,0,6.189359,8.218657,0,20,0.041000,78.845000,0.000000,39.422500,16383,16383,1417884147,3077387971,1424219007.658559,0,1424219007.658559,61,71,0,0,2,2,2,2,2,2,0,0,0,2,2,0
0.000010,tcp,-,ACK,81,81,81,81,0E+6,253,0,64800.000000,64800.000000,0,0,78.845000,0.010000,39.422500,0.006667,16383,16383,3077387971,1417884168,1424219007.737404,0,1424219007.737404,68,74,0,0,1,1,1,1,1,1,0,0,0,1,1,0
0.022689,tcp,-,ACK,81,48,81,48,0,252,0,28.560095,16.924501,33,0,0.010000,22.689000,0.006667,17.016750,16383,16383,3077387971,1417884168,0,0,0,71,68,0,0,2,2,2,2,2,2,0,0,0,2,2,0
0.000009,tcp,-,SYN,48,48,48,48,0E+6,63,0,42666.666667,42666.666667,0,0,22.689000,0.009000,17.016750,0.007200,16383,16383,2116150707,0,0,0,0,66,64,0,0,1,1,3,1,1,1,0,0,0,1,1,0
0.040164,tcp,-,SYN,48,68,48,68,3983.666965441689074793347276,62,0,9.560801,13.544468,0,20,0.009000,40.164000,0.007200,33.470000,16383,16383,2116150707,0,0,0,0,63,64,0,0,2,2,4,2,2,2,0,0,0,2,2,0
0.000010,tcp,imap,PSH,68,68,68,68,0E+6,63,0,54400.000000,54400.000000,0,0,40.164000,0.010000,33.470000,0.008571,16383,16383,1417884168,3077388012,1424219007.800276,0,1424219007.800276,64,65,0,0,3,3,5,3,3,3,0,0,0,3,3,0
0.001062,tcp,imap,PSH,68,40,68,40,0,62,0,512.241055,301.318267,28,0,0.010000,1.062000,0.008571,0.929250,16383,16383,1417884168,3077388012,1424219007.800286,0,1424219007.800286,64,62,0,0,4,4,6,4,4,4,0,0,0,4,4,0
0.000010,tcp,ftp,ACK,40,40,40,40,0E+6,63,0,32000.000000,32000.000000,0,0,1.062000,0.010000,0.929250,0.008889,16383,16383,1107119178,1047442890,1424219007.801348,0,1424219007.801348,62,59,0,0,1,1,7,1,1,3,0,1,0,3,1,0
0.020212,tcp,ftp,ACK,40,48,40,48,3166.435780724322184840688700,62,0,15.832179,18.998615,0,8,0.010000,20.212000,0.008889,18.190800,16383,16383,1107119178,1047442890,0,0,0,60,58,0,0,2,2,8,2,2,4,0,1,0,4,2,0
0.000009,tcp,-,SYN,48,48,48,48,0E+6,253,0,42666.666667,42666.666667,0,0,20.212000,0.009000,18.190800,0.008182,16383,16383,2963114973,2116150708,0,0,0,59,57,0,0,1,1,1,1,1,1,0,0,0,3,1,0
0.021761,tcp,-,SYN,48,40,48,40,0,252,0,17.646248,14.705207,8,0,0.009000,21.761000,0.008182,19.947583,16383,16383,2963114973,2116150708,0,0,0,58,56,0,0,2,2,2,2,2,2,0,0,0,4,2,0
0.000010,tcp,-,ACK,40,40,40,40,0E+6,253,0,32000.000000,32000.000000,0,0,21.761000,0.010000,19.947583,0.009231,16383,16383,621772693,2202533631,1424219007.843340,0,1424219007.843340,56,55,0,0,1,3,3,1,1,1,0,0,0,1,1,0
0.028668,tcp,-,ACK,40,48,40,48,2232.454304450955769499093065,252,0,11.162272,13.394726,0,8,0.010000,28.668000,0.009231,26.620286,16383,16383,621772693,2202533631,1424219007.843350,0,1424219007.843350,55,54,0,0,2,4,4,2,2,2,0,0,0,2,2,0
